Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
01.04.2025;00:00;27041,13;1412,02;5866,47;2806,13;4405,3;4534,4;5560,55;0;91,3;1280,17;161,17;303,17;947,86;0;0;-413,58;86,17
01.04.2025;01:00;25528,18;1030,68;4456,52;2578,6;4244,27;4496,86;6188,59;0;91,45;1305,08;161,17;319,33;953,44;0;0;-384,59;86,78
01.04.2025;02:00;24225,62;996,61;3744,61;2360,49;4052,26;3402,2;7114,49;0;79,89;1315,19;165,59;325,02;949,21;0;0;-368,25;88,31
01.04.2025;03:00;23381,61;1073,72;3346,9;2434,69;4025,52;3046,42;6901,95;0;80,38;1320,1;161,17;312,91;934,3;0;0;-343,72;87,27
01.04.2025;04:00;23100,3;1078,31;3323,53;2496,25;3909,39;2897,79;6802,47;,01;80,64;1310,78;163,38;330,46;948,21;0;0;-327,99;87,07
01.04.2025;05:00;23024,81;1110,36;3766,28;2535,48;3834,62;2909,14;6441,36;4,53;79,65;1303,6;161,17;308,94;948,87;0;0;-467,69;88,5
01.04.2025;06:00;22449,51;1045,67;3001,2;2510,04;3853,4;2849,49;6690,34;91,27;81,52;1308,08;163,38;327,99;947,6;0;0;-509,94;89,47
01.04.2025;07:00;20502,04;955,23;1529,38;2348,93;3110,31;2673,12;7047,73;545,47;85,2;1309,99;163,38;303,23;925,34;0;0;-583,37;88,1
01.04.2025;08:00;19926,87;829,51;2245,1;2314,52;2401,71;2734,12;6209,97;817,72;81,75;1287,64;163,38;317,03;915,09;0;0;-481,63;90,96
01.04.2025;09:00;20592,03;745,22;2772,99;2340,3;2309,99;2802,78;6104,58;1067,87;84,66;1279,23;158,96;316,26;922,67;0;0;-400,7;87,22
01.04.2025;10:00;21566,06;746,94;2181,38;2286,34;2493,28;2707,7;7611,84;1253,25;82,51;1253,43;165,59;323,47;928,86;0;0;-560,26;91,73
01.04.2025;11:00;22565,09;743,53;2884,1;2307,28;2781,65;2734,39;7564,42;1146,64;84,93;1253,29;163,38;328,6;928,55;0;0;-448,16;92,49
01.04.2025;12:00;23432,33;736,96;3556,54;2347,18;3274,94;2871,11;7238,11;1143,11;85,38;1288,87;161,17;313,34;927,71;0;0;-601,91;89,82
01.04.2025;13:00;24368,47;739,26;4156,26;2287,6;3643,04;3811,91;6457,83;1015,62;87,31;1295,4;167,8;313,17;939,49;0;0;-638,17;91,95
01.04.2025;14:00;25550,72;741,09;5552,72;2305,37;3923,38;4165,59;5877,76;719,98;87,54;1314,64;163,38;300,94;951,68;0;0;-644,92;91,57
01.04.2025;15:00;26344,11;826,19;6331,18;2328,93;3976,66;4274,79;5876,27;437,6;86,81;1325,07;163,38;317,83;962,64;0;0;-654,84;91,6
01.04.2025;16:00;27545,19;936,77;7027,3;2337,55;4097,42;4702;5896,28;302,92;85,93;1323,42;163,38;316,31;966,02;0;0;-702,3;92,19
01.04.2025;17:00;29025,53;1657,92;7306,67;2366,88;4327,71;5150,5;5614,45;220,38;86,84;1334,69;161,17;317,38;973,24;0;0;-584;91,7
01.04.2025;18:00;30666,6;3161,14;7029,48;2391,71;4439,17;5452,65;5648,93;70,73;92,34;1339,62;163,38;318,24;971,79;0;0;-502,93;90,35
01.04.2025;19:00;32575,84;3479,06;7708,06;2422,24;4561,76;5481,23;6382,26;,78;91,63;1344,67;163,38;324,28;967,68;0;0;-442,26;91,07
01.04.2025;20:00;32734,01;3347,83;7721,94;2428,15;4566,47;5536,41;6631,8;,01;94,04;1347;163,38;318,4;974,36;0;0;-485,82;90,04
01.04.2025;21:00;31860,37;3362,2;6967,07;2405,45;4570,67;5567,42;6451,69;,01;94,39;1346,2;161,17;315,4;973,64;0;0;-443,81;88,87
01.04.2025;22:00;30971,01;3147,12;6663,91;2384,78;4338,35;5577,15;6171,32;,01;94,77;1348,26;163,38;302,14;972,22;0;0;-281,8;89,4
01.04.2025;23:00;29921,19;2721,5;6329,18;2493,49;4195,73;5579,67;6074,24;,01;90,71;1325,68;163,38;303,41;953,95;0;0;-398,61;88,85
02.04.2025;00:00;28717,64;2875,46;6016,04;2817,21;4164,31;4614,81;5610,45;,02;95,14;1348,56;158,97;320,02;942,02;0;0;-331,44;86,07
02.04.2025;01:00;27344,4;2953,17;5323,76;2989,05;4195,87;4070,61;5116,21;,02;82,97;1349,73;158,96;307,77;944,92;0;0;-236,99;88,35
02.04.2025;02:00;26321,75;3164,81;4936,88;2972,95;4091,93;3739,7;4632,79;,02;82,35;1350,27;161,17;313,98;960,45;0;0;-170,87;85,32
02.04.2025;03:00;25597,15;2905,35;4813,03;3018,62;4093,78;3588,71;4401,25;,02;82,81;1351,05;165,59;314,79;965,01;0;0;-190,42;87,56
02.04.2025;04:00;25403,32;2947,56;4584,13;3090,06;4066,13;3846,05;4141,8;,16;81,97;1348,59;161,17;310,38;964,95;0;0;-224,28;84,65
02.04.2025;05:00;25489,69;3004,21;4230,26;3070,23;4066,87;4460,14;4013;2,16;93,91;1353,93;165,59;318,89;983,26;0;0;-359,77;87,01
02.04.2025;06:00;25190,29;3269,18;3210,97;3099,49;4201,04;4783,7;3971,56;37,41;92,61;1346,43;163,38;323,85;972,98;0;0;-370,61;88,3
02.04.2025;07:00;25762,13;4093,25;3221,35;3156,45;4095,27;4310,85;3847,95;309,43;95,78;1345,95;167,8;420,03;981,4;0;0;-374,6;91,22
02.04.2025;08:00;29897,88;5786,85;4736,22;3205,88;4332,24;5274,12;3366,31;429,36;95,92;1341,97;214,17;443,14;987,15;0;0;-403,28;87,83
02.04.2025;09:00;31637,26;6138,41;5835,17;2988,56;4332,09;5654,56;3233,99;675,89;93,1;1332,24;220,8;450,57;997,77;0;0;-403,82;87,93
02.04.2025;10:00;31938,44;6290,17;6150,9;2895,39;4294,25;5342,55;3087,94;1068,76;76,14;1317,63;225,2;460,88;974,77;0;0;-333,45;87,31
02.04.2025;11:00;33158,63;6211,59;6940,31;2780,15;4289,64;5173,02;3321,68;1647,74;78,88;1308,02;223;453,08;980,15;0;0;-339,39;90,76
02.04.2025;12:00;31881,11;6043,22;5044,86;2797,18;4213,99;5468,56;3551,29;1919,16;87,85;1295,88;223;443,87;972,28;0;0;-267,87;87,84
